Event ID,Station-Unit,Start Date,Cause Code Name,IsRepeat,TimeBetweenFailure
163275,Gibson Steam-4,8/23/08 3:26,Waterwall (Furnace wall) A,TRUE,50.6
165728,Gibson Steam-4,9/10/08 20:25,First reheater A,FALSE,
165729,Gibson Steam-4,9/10/08 23:11,First reheater A,TRUE,2.766666667
165730,Gibson Steam-4,9/12/08 14:21,First reheater A,TRUE,39.16666667
165797,Belews Creek Steam-2,9/12/08 18:27,Economizer B,FALSE,
165808,Marshall Steam-4,9/16/08 16:42,Waterwall (Furnace wall) A,TRUE,2321.183333
165961,Gibson Steam-4,9/20/08 8:05,Waterwall (Furnace wall) A,FALSE,
165962,Gibson Steam-4,9/20/08 11:14,Waterwall (Furnace wall) A,TRUE,3.15
165963,Gibson Steam-4,9/21/08 22:44,Waterwall (Furnace wall) A,TRUE,35.5
165964,Gibson Steam-4,9/22/08 11:09,Waterwall (Furnace wall) A,TRUE,12.41666667
165965,Gibson Steam-4,9/22/08 13:45,Waterwall (Furnace wall) A,TRUE,2.6
166039,Gibson Steam-1,9/26/08 22:02,Waterwall (Furnace wall) A,FALSE,
166040,Gibson Steam-1,9/27/08 5:16,Waterwall (Furnace wall) A,TRUE,7.233333333
166041,Gibson Steam-1,9/27/08 10:25,Waterwall (Furnace wall) A,TRUE,5.15
166042,Gibson Steam-1,9/29/08 2:03,Waterwall (Furnace wall) A,TRUE,39.63333333
166048,Gibson Steam-4,9/24/08 23:03,Waterwall (Furnace wall) A,TRUE,57.3
166130,Gallagher Steam-2,9/4/08 9:43,Waterwall (Furnace wall) A,FALSE,
169770,Gibson Steam-2,10/11/08 13:36,Waterwall (Furnace wall) A,FALSE,
169771,Gibson Steam-2,10/11/08 16:29,Waterwall (Furnace wall) A,TRUE,2.883333333
169772,Gibson Steam-2,10/14/08 10:36,Waterwall (Furnace wall) A,TRUE,66.11666667
169773,Gibson Steam-3,10/8/08 21:04,First reheater A,FALSE,
169774,Gibson Steam-3,10/8/08 23:45,First reheater A,TRUE,2.683333333
169775,Gibson Steam-3,10/12/08 5:05,First reheater A,TRUE,77.33333333
169915,Cayuga Steam-2,10/27/08 8:48,Waterwall (Furnace wall) A,FALSE,
170077,Marshall Steam-4,10/31/08 15:18,First superheater B,FALSE,
172501,Allen Steam-1,11/11/08 21:24,Waterwall (Furnace wall) A,TRUE,8576.95
172527,Marshall Steam-4,11/21/08 12:43,Waterwall (Furnace wall) A,FALSE,
172634,Allen Steam-4,11/25/08 16:35,Waterwall (Furnace wall) A,TRUE,10181.2
172637,Allen Steam-5,11/25/08 19:38,Waterwall (Furnace wall) A,TRUE,212.1333333
172658,Gibson Steam-3,11/29/08 0:03,Platen superheater,FALSE,
172668,W.S. Lee Steam-3,11/20/08 18:36,Waterwall (Furnace wall) A,TRUE,9496.116667
