,Customer.name,Location.name,Location.city,Unit.name,tubes_inspected,bins_collected,critical_tubes,critical_bins,tube_feet_inspected
143,Engie,Engie Chile,Chile,CTH,188,43840,0,0,10960.0
144,Engie,Engie Chile,Chile,CTA,188,43550,0,0,10887.5
145,Southern Co,Plant Scherer,Atlanta,Unit 1,448,40381,0,0,10095.25
146,East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 1,889,35575,0,0,8893.75
147,CLECO,Brame Energy Center,Lena,Boiler 31,526,34123,0,0,8530.75
148,AES,Ventanas,Pittsburgh,Unit 2,458,32022,0,0,8005.5
149,CLP,Castle Peak Power Station,Hong Kong,Unit B1,239,31957,0,0,7989.25
150,NRG,Arthur Kill,Staten Island,Superheat Unit,313,31278,0,0,7819.5
151,CGN,Daesan Power,Sosan,Biomass Boiler,150,30469,0,0,7617.25
152,CLP,Castle Peak Power Station,Hong Kong,Unit B2,236,29689,0,0,7422.25
153,CLECO,Brame Energy Center,Lena,Boiler 32,482,28611,0,0,7152.75
154,Kentucky Utilities,Ghent Generating Station,Ghent,Unit 1,544,26108,0,0,6527.0
155,Vistra Luminant Energy,Sandow,Rockdale,Boiler 5A,342,24787,0,0,6196.75
156,CLP,Castle Peak Power Station,Hong Kong,Unit B3,194,23742,0,0,5935.5
157,Kentucky Utilities,Ghent Generating Station,Ghent,Unit 3,380,15985,0,0,3996.25
158,Tucson Electric Power,TEP - Sundt Station,Tucson,Unit 3,100,15890,0,0,3972.5
159,AES,Tamuin - TEG,TamuÃ­n,Boiler 1B,106,15819,0,0,3954.75
160,HECO,Kahe Power Plant,Kapolei,Unit 6,211,15621,0,0,3905.25
161,Tauron,Tauron - Lagisza,BÄ™dzin,6.17 Demo,234,15402,0,0,3850.5
162,Kentucky Utilities,Ghent Generating Station,Ghent,Unit 4,190,15369,0,0,3842.25
163,AES,Tamuin - TEG,TamuÃ­n,CFB Boiler 1A,108,15154,0,0,3788.5
164,CLP,Castle Peak Power Station,Hong Kong,Unit B4,178,14869,0,0,3717.25
165,HECO,Kahe Power Plant,Kapolei,Unit 2,179,14418,0,0,3604.5
166,Imperial Irrigation District,El Centro Generating Station,El Centro,Unit 4 Steam Boiler,345,14363,0,0,3590.75
167,University of North Carolina (UNC),Chapel Hill,Chapel Hill,Boiler 6,264,14240,0,0,3560.0
